#    L    TT             EE             TE             PP             TP          
   158    0.46767E+04    0.10513E+01   -0.46367E+02    0.33877E+07    0.26981E+04
   159    0.47077E+04    0.10430E+01   -0.46199E+02    0.33683E+07    0.26652E+04
   160    0.47384E+04    0.10344E+01   -0.46005E+02    0.33491E+07    0.26328E+04
   161    0.47689E+04    0.10255E+01   -0.45784E+02    0.33301E+07    0.26009E+04
   162    0.47991E+04    0.10162E+01   -0.45538E+02    0.33112E+07    0.25694E+04
   163    0.48291E+04    0.10067E+01   -0.45265E+02    0.32925E+07    0.25385E+04
   164    0.48587E+04    0.99687E+00   -0.44965E+02    0.32739E+07    0.25080E+04
   165    0.48881E+04    0.98675E+00   -0.44638E+02    0.32555E+07    0.24780E+04
   166    0.49171E+04    0.97647E+00   -0.44284E+02    0.32372E+07    0.24484E+04
   167    0.49460E+04    0.96580E+00   -0.43903E+02    0.32190E+07    0.24194E+04
   168    0.49744E+04    0.95512E+00   -0.43495E+02    0.32011E+07    0.23908E+04
   169    0.50025E+04    0.94413E+00   -0.43058E+02    0.31832E+07    0.23627E+04
   170    0.50302E+04    0.93304E+00   -0.42595E+02    0.31655E+07    0.23350E+04
   171    0.50575E+04    0.92187E+00   -0.42103E+02    0.31480E+07    0.23079E+04
   172    0.50844E+04    0.91054E+00   -0.41583E+02    0.31306E+07    0.22811E+04
   173    0.51108E+04    0.89904E+00   -0.41035E+02    0.31133E+07    0.22549E+04
   174    0.51370E+04    0.88767E+00   -0.40460E+02    0.30962E+07    0.22291E+04
   175    0.51627E+04    0.87615E+00   -0.39857E+02    0.30793E+07    0.22037E+04
   176    0.51878E+04    0.86468E+00   -0.39225E+02    0.30624E+07    0.21788E+04
   177    0.52126E+04    0.85320E+00   -0.38567E+02    0.30457E+07    0.21544E+04
   178    0.52369E+04    0.84193E+00   -0.37880E+02    0.30292E+07    0.21304E+04
   179    0.52608E+04    0.83057E+00   -0.37164E+02    0.30128E+07    0.21068E+04
   180    0.52843E+04    0.81935E+00   -0.36422E+02    0.29965E+07    0.20836E+04
   181    0.53072E+04    0.80827E+00   -0.35653E+02    0.29803E+07    0.20608E+04
   182    0.53297E+04    0.79739E+00   -0.34856E+02    0.29643E+07    0.20384E+04
   183    0.53517E+04    0.78666E+00   -0.34032E+02    0.29485E+07    0.20164E+04
   184    0.53732E+04    0.77613E+00   -0.33180E+02    0.29327E+07    0.19948E+04
   185    0.53943E+04    0.76597E+00   -0.32303E+02    0.29171E+07    0.19735E+04
   186    0.54146E+04    0.75603E+00   -0.31397E+02    0.29016E+07    0.19526E+04
   187    0.54347E+04    0.74645E+00   -0.30465E+02    0.28862E+07    0.19320E+04
   188    0.54542E+04    0.73722E+00   -0.29508E+02    0.28710E+07    0.19118E+04
   189    0.54732E+04    0.72837E+00   -0.28523E+02    0.28559E+07    0.18919E+04
   190    0.54919E+04    0.71996E+00   -0.27514E+02    0.28409E+07    0.18723E+04
   191    0.55098E+04    0.71201E+00   -0.26478E+02    0.28260E+07    0.18529E+04
   192    0.55272E+04    0.70455E+00   -0.25416E+02    0.28112E+07    0.18339E+04
   193    0.55441E+04    0.69761E+00   -0.24330E+02    0.27966E+07    0.18152E+04
   194    0.55605E+04    0.69123E+00   -0.23218E+02    0.27821E+07    0.17967E+04
   195    0.55764E+04    0.68545E+00   -0.22083E+02    0.27677E+07    0.17785E+04
   196    0.55916E+04    0.68030E+00   -0.20922E+02    0.27534E+07    0.17606E+04
   197    0.56064E+04    0.67583E+00   -0.19739E+02    0.27392E+07    0.17429E+04
   198    0.56206E+04    0.67207E+00   -0.18532E+02    0.27252E+07    0.17254E+04
   199    0.56343E+04    0.66904E+00   -0.17302E+02    0.27112E+07    0.17081E+04
   200    0.56475E+04    0.66678E+00   -0.16050E+02    0.26974E+07    0.16911E+04
   201    0.56601E+04    0.66535E+00   -0.14774E+02    0.26836E+07    0.16742E+04
   202    0.56721E+04    0.66476E+00   -0.13477E+02    0.26700E+07    0.16576E+04
   203    0.56835E+04    0.66506E+00   -0.12158E+02    0.26565E+07    0.16411E+04
   204    0.56942E+04    0.66628E+00   -0.10819E+02    0.26431E+07    0.16249E+04
   205    0.57044E+04    0.66847E+00   -0.94593E+01    0.26298E+07    0.16088E+04
   206    0.57139E+04    0.67166E+00   -0.80789E+01    0.26166E+07    0.15930E+04
   207    0.57229E+04    0.67588E+00   -0.66788E+01    0.26035E+07    0.15773E+04
   208    0.57311E+04    0.68117E+00   -0.52595E+01    0.25905E+07    0.15618E+04
   209    0.57387E+04    0.68756E+00   -0.38213E+01    0.25776E+07    0.15465E+04
   210    0.57457E+04    0.69511E+00   -0.23651E+01    0.25648E+07    0.15314E+04
   211    0.57521E+04    0.70384E+00   -0.89109E+00    0.25521E+07    0.15164E+04
   212    0.57577E+04    0.71378E+00    0.59986E+00    0.25394E+07    0.15017E+04
   213    0.57628E+04    0.72499E+00    0.21078E+01    0.25269E+07    0.14871E+04
   214    0.57672E+04    0.73744E+00    0.36314E+01    0.25145E+07    0.14727E+04
   215    0.57710E+04    0.75134E+00    0.51701E+01    0.25022E+07    0.14585E+04
   216    0.57741E+04    0.76649E+00    0.67242E+01    0.24900E+07    0.14444E+04
   217    0.57766E+04    0.78307E+00    0.82918E+01    0.24779E+07    0.14305E+04
   218    0.57785E+04    0.80106E+00    0.98731E+01    0.24659E+07    0.14168E+04
   219    0.57798E+04    0.82047E+00    0.11469E+02    0.24539E+07    0.14033E+04
   220    0.57804E+04    0.84144E+00    0.13075E+02    0.24421E+07    0.13899E+04
   221    0.57805E+04    0.86391E+00    0.14693E+02    0.24303E+07    0.13767E+04
   222    0.57799E+04    0.88801E+00    0.16323E+02    0.24187E+07    0.13637E+04
   223    0.57786E+04    0.91369E+00    0.17964E+02    0.24071E+07    0.13508E+04
   224    0.57768E+04    0.94093E+00    0.19612E+02    0.23956E+07    0.13380E+04
   225    0.57743E+04    0.96989E+00    0.21272E+02    0.23842E+07    0.13255E+04
   226    0.57712E+04    0.10006E+01    0.22939E+02    0.23729E+07    0.13131E+04
